Jour;jour_annee;tmax;tmin
27 OCTOBRE;301;14.31;5.77
28 OCTOBRE;302;14.56;6.01
29 OCTOBRE;303;14.39;6.55
30 OCTOBRE;304;13.95;5.87
31 OCTOBRE;305;13.64;4.71
01 NOVEMBRE;306;12.59;5.18
02 NOVEMBRE;307;14.15;7.64
03 NOVEMBRE;308;13.94;7.15
04 NOVEMBRE;309;12.94;6.01
05 NOVEMBRE;310;11.48;4.63
06 NOVEMBRE;311;9.88;4.88
07 NOVEMBRE;312;11.36;3.87
08 NOVEMBRE;313;10.79;2.94
09 NOVEMBRE;314;9.93;2.56
10 NOVEMBRE;315;9.67;3.12
11 NOVEMBRE;316;10.32;4.03
12 NOVEMBRE;317;11.05;4.77
13 NOVEMBRE;318;11.0;3.6
14 NOVEMBRE;319;9.53;2.42
15 NOVEMBRE;320;10.38;3.15
16 NOVEMBRE;321;9.56;4.27
17 NOVEMBRE;322;8.84;2.92
18 NOVEMBRE;323;8.81;3.08
19 NOVEMBRE;324;9.66;2.76
20 NOVEMBRE;325;9.56;3.91
21 NOVEMBRE;326;9.02;3.58
22 NOVEMBRE;327;9.34;4.18
23 NOVEMBRE;328;8.57;3.23
24 NOVEMBRE;329;8.71;3.25
25 NOVEMBRE;330;7.8;3.56
26 NOVEMBRE;331;7.73;2.53
27 NOVEMBRE;332;8.17;2.23
28 NOVEMBRE;333;6.12;0.79
29 NOVEMBRE;334;7.24;2.07
30 NOVEMBRE;335;7.83;2.96
01 DÉCEMBRE;336;7.34;2.37
02 DÉCEMBRE;337;8.21;3.46
03 DÉCEMBRE;338;6.87;3.97
04 DÉCEMBRE;339;8.38;4.07
05 DÉCEMBRE;340;7.85;3.98
06 DÉCEMBRE;341;6.83;1.9
07 DÉCEMBRE;342;5.97;1.37
08 DÉCEMBRE;343;5.36;-0.36
09 DÉCEMBRE;344;4.47;-0.23
10 DÉCEMBRE;345;4.74;-0.8
11 DÉCEMBRE;346;4.4;-0.06
12 DÉCEMBRE;347;4.3;-0.18
13 DÉCEMBRE;348;2.82;-0.67
14 DÉCEMBRE;349;3.89;-1.81
15 DÉCEMBRE;350;4.42;-1.45
16 DÉCEMBRE;351;3.39;-3.19
17 DÉCEMBRE;352;3.1;-1.3
18 DÉCEMBRE;353;3.62;-2.04
19 DÉCEMBRE;354;4.96;-2.61
20 DÉCEMBRE;355;5.15;-1.54
21 DÉCEMBRE;356;5.07;0.27
22 DÉCEMBRE;357;4.32;-0.61
23 DÉCEMBRE;358;5.23;-1.61
24 DÉCEMBRE;359;4.35;-1.09
25 DÉCEMBRE;360;4.36;-1.36
26 DÉCEMBRE;361;3.75;-0.4
27 DÉCEMBRE;362;4.84;-0.4
28 DÉCEMBRE;363;4.84;-1.0
29 DÉCEMBRE;364;5.16;0.17
30 DÉCEMBRE;365;5.23;0.05
31 DÉCEMBRE;366;4.2;-0.75
